State,City,Population1,Murder,Forcible rape,Robbery,Aggravated assault,Burglary,"Larceny-theft","Motor vehicle theft",Arson2
CALIFORNIA,VISALIA,125905,5,40,95,343,1110,3466,545,8
CALIFORNIA,WEST COVINA,107345,1,20,124,135,526,2212,511,1
COLORADO,ARVADA,108287,1,25,34,102,304,2052,189,29
COLORADO,AURORA,330740,12,185,504,751,2149,6896,868,87
COLORADO,BOULDER,99081,2,35,36,203,467,1904,123,55
COLORADO,CENTENNIAL,102125,0,27,23,112,325,958,71,20
COLORADO,COLORADO SPRINGS,423680,28,325,451,1071,3322,11425,1175,104
COLORADO,DENVER,610612,33,393,1143,2136,4871,14055,3589,95
COLORADO,FORT COLLINS,146494,3,56,45,309,556,3535,157,15
COLORADO,LAKEWOOD,145470,8,88,132,386,930,4761,487,15
COLORADO,PUEBLO3,108452,11,40,174,607,1584,3422,467,49
COLORADO,"THORNTON3,6",120841,0,50,50,595,513,2644,281,25
COLORADO,WESTMINSTER,107962,4,34,48,153,397,2074,329,13
CONNECTICUT,BRIDGEPORT,144496,20,116,610,701,1540,3025,1042,24
CONNECTICUT,HARTFORD,125006,27,55,602,955,1271,3372,859,91
CONNECTICUT,NEW HAVEN,130019,34,55,765,890,1401,4100,940,17
CONNECTICUT,STAMFORD,122870,6,32,190,161,282,1498,207,4
CONNECTICUT,WATERBURY,110570,7,9,183,160,818,3326,427,3
DISTRICT OF COLUMBIA,WASHINGTON,617996,108,172,3756,2949,3849,20124,4339,61
FLORIDA,CAPE CORAL,156408,3,14,58,160,1023,2855,112,13
FLORIDA,CLEARWATER,109153,10,40,182,569,719,3252,158,15
FLORIDA,CORAL SPRINGS,122746,1,4,90,141,633,2238,164,0
FLORIDA,FORT LAUDERDALE,167777,12,91,771,691,3102,6489,601,44
FLORIDA,GAINESVILLE,126049,6,82,184,640,1063,4003,290,3
FLORIDA,HIALEAH,227731,4,31,253,572,1069,5473,951,17
FLORIDA,HOLLYWOOD,142686,4,47,269,340,2054,5163,572,9
FLORIDA,JACKSONVILLE,834429,71,350,1578,3183,8518,25733,1862,108
FLORIDA,MIAMI,404901,68,96,2002,2683,5141,15080,2700,124
FLORIDA,MIAMI GARDENS,108628,24,19,413,543,1485,3270,642,26
FLORIDA,MIRAMAR,123704,4,40,192,278,981,1969,258,9
FLORIDA,ORLANDO,241548,29,119,697,1746,4165,11669,1311,45
FLORIDA,PALM BAY,104596,2,22,97,480,808,1786,145,19
FLORIDA,PEMBROKE PINES,156859,4,28,119,159,1059,3591,294,11
FLORIDA,POMPANO BEACH,101206,5,41,343,528,1343,3852,329,9
FLORIDA,PORT ST. LUCIE,166846,6,30,61,274,1128,2590,143,11
FLORIDA,ST. PETERSBURG,248105,21,90,720,1701,3412,8544,847,65
FLORIDA,TALLAHASSEE,183848,10,107,511,1033,3252,5748,363,20
FLORIDA,TAMPA,340284,28,58,587,1555,2718,7042,633,102
FLORIDA,WEST PALM BEACH,101281,14,48,235,472,1354,3685,344,13
GEORGIA,ATHENS-CLARKE COUNTY,117114,6,31,132,249,1359,3273,243,23
GEORGIA,ATLANTA,425533,88,148,2343,3518,7499,17274,5371,121
GEORGIA,COLUMBUS,192385,14,40,413,465,3342,8059,1049,39
GEORGIA,SAVANNAH-CHATHAM METROPOLITAN,226422,26,36,488,339,2241,6608,730,37
IDAHO,BOISE,207945,1,66,59,384,809,4347,172,53
ILLINOIS,AURORA,198495,2,58,158,418,947,2740,134,20
ILLINOIS,CHICAGO7,2703713,430,,13975,12408,26420,72373,19446,
ILLINOIS,ELGIN,108514,5,78,82,122,555,1425,88,6
ILLINOIS,JOLIET,147877,8,30,87,392,939,2751,171,51
ILLINOIS,NAPERVILLE,142280,2,4,24,82,300,1768,42,8
ILLINOIS,PEORIA,115353,16,33,288,477,1721,3460,257,65
ILLINOIS,ROCKFORD,153331,21,112,565,1400,1887,4738,486,69
ILLINOIS,SPRINGFIELD,116600,8,103,258,909,1883,5075,217,68
INDIANA,EVANSVILLE,118029,3,56,154,278,1074,4151,231,88
INDIANA,FORT WAYNE3,254987,18,94,310,357,1888,6768,380,41
INDIANA,SOUTH BEND,101685,9,60,406,269,2335,3437,324,43
IOWA,CEDAR RAPIDS,126988,2,41,86,229,1099,3566,214,17
IOWA,DAVENPORT3,100207,5,53,113,481,1140,3529,239,24
IOWA,DES MOINES,204498,8,103,216,742,2493,7400,834,44
KANSAS,KANSAS CITY3,146712,27,95,291,534,1827,4792,1264,
KANSAS,OLATHE,126671,6,48,20,152,259,1774,171,19
KANSAS,OVERLAND PARK,174473,2,60,38,189,468,3237,310,38
KANSAS,TOPEKA,128283,15,53,235,395,1727,5213,589,
KANSAS,WICHITA,384796,25,238,490,2197,4005,13550,1901,139
KENTUCKY,LEXINGTON3,297847,14,105,496,743,2722,9026,670,30
KENTUCKY,LOUISVILLE METRO,665152,48,230,1642,2166,8147,21569,2275,237
LOUISIANA,BATON ROUGE,231592,64,51,893,1460,4220,7946,500,179
LOUISIANA,LAFAYETTE,121726,6,15,232,590,1194,5040,277,
LOUISIANA,NEW ORLEANS,346974,200,163,1059,1326,3857,7616,2540,
LOUISIANA,SHREVEPORT,201134,17,121,355,1051,2775,6371,438,86
MARYLAND,BALTIMORE,626848,196,341,3457,4891,8615,17010,4199,307
MASSACHUSETTS,BOSTON,621359,63,271,1904,3014,3482,14064,1899,
MASSACHUSETTS,CAMBRIDGE,105803,5,24,152,297,539,2464,155,8
MASSACHUSETTS,LOWELL,107167,3,36,168,588,914,1941,246,33
MASSACHUSETTS,SPRINGFIELD,153993,20,30,530,995,2497,4052,791,55
MASSACHUSETTS,WORCESTER,182145,11,31,411,1342,2064,3480,529,10
MICHIGAN,ANN ARBOR,113848,0,36,59,166,534,1918,97,11
MICHIGAN,DETROIT,713239,344,427,4962,9512,15994,16456,11368,957
MICHIGAN,FLINT,102357,52,85,607,1648,3628,2220,770,287
MICHIGAN,GRAND RAPIDS,187898,10,81,464,840,1952,3897,325,71
MICHIGAN,LANSING,114211,8,90,275,796,1650,2397,240,24
MICHIGAN,STERLING HEIGHTS3,129601,1,11,31,160,451,2047,173,6
MICHIGAN,WARREN,133955,6,73,156,484,1070,1975,808,47
MINNESOTA,MINNEAPOLIS,385531,32,386,1589,1715,5104,12311,1775,140
MINNESOTA,ROCHESTER7,107593,1,,65,102,425,1809,89,20
MINNESOTA,ST. PAUL,287665,8,169,604,1104,3197,6890,1845,106
MISSISSIPPI,JACKSON,174170,52,126,808,634,4722,6632,1457,86
MISSOURI,COLUMBIA,108894,2,37,166,377,798,3323,142,16
MISSOURI,INDEPENDENCE3,117255,2,45,110,342,1178,4785,728,26
MISSOURI,KANSAS CITY3,461458,108,265,1665,3498,6848,15305,3392,302
